files,labels,fold
000001.jpg,0,val
000002.jpg,0,val
000003.jpg,0,val
000004.jpg,0,val
000005.jpg,0,val
000006.jpg,0,val
000007.jpg,0,val
000008.jpg,0,val
000009.jpg,0,val
000010.jpg,0,val
000011.jpg,0,val
000012.jpg,0,val
000013.jpg,0,train
000014.jpg,0,train
000015.jpg,0,train
000016.jpg,0,train
000017.jpg,0,train
000018.jpg,0,train
000019.jpg,0,train
000020.jpg,0,train
000021.jpg,0,train
000022.jpg,0,train
000023.jpg,0,train
000024.jpg,0,train
000025.jpg,0,train
000026.jpg,0,train
000027.jpg,0,train
000028.jpg,0,train
000029.jpg,0,train
000030.jpg,0,train
000031.jpg,0,train
000032.jpg,0,train
000033.jpg,0,train
000034.jpg,0,train
000035.jpg,0,train
000036.jpg,0,train
000037.jpg,0,train
000038.jpg,0,train
000039.jpg,0,train
000040.jpg,0,train
000041.jpg,0,train
000042.jpg,0,train
000043.jpg,0,train
000044.jpg,0,train
000045.jpg,0,train
000046.jpg,0,train
000047.jpg,0,train
000048.jpg,0,train
000049.jpg,0,train
000050.jpg,0,train
000051.jpg,0,train
000052.jpg,0,train
000053.jpg,0,train
000054.jpg,0,train
000055.jpg,0,train
000056.jpg,0,train
000057.jpg,0,train
000058.jpg,0,train
000059.jpg,0,train
000060.jpg,0,train
000061.jpg,0,train
000062.jpg,0,train
000063.jpg,0,train
000154.jpg,1,val
000155.jpg,1,val
000156.jpg,1,val
000157.jpg,1,val
000158.jpg,1,val
000159.jpg,1,val
000160.jpg,1,val
000161.jpg,1,val
000162.jpg,1,val
000163.jpg,1,val
000164.jpg,1,val
000165.jpg,1,val
000166.jpg,1,train
000167.jpg,1,train
000168.jpg,1,train
000169.jpg,1,train
000170.jpg,1,train
000171.jpg,1,train
000172.jpg,1,train
000173.jpg,1,train
000174.jpg,1,train
000175.jpg,1,train
000176.jpg,1,train
000177.jpg,1,train
000178.jpg,1,train
000179.jpg,1,train
000180.jpg,1,train
000181.jpg,1,train
000182.jpg,1,train
000183.jpg,1,train
000184.jpg,1,train
000185.jpg,1,train
000186.jpg,1,train
000187.jpg,1,train
000188.jpg,1,train
000189.jpg,1,train
000190.jpg,1,train
000191.jpg,1,train
000192.jpg,1,train
000193.jpg,1,train
000194.jpg,1,train
000195.jpg,1,train
000196.jpg,1,train
000197.jpg,1,train
000198.jpg,1,train
000199.jpg,1,train
000200.jpg,1,train
000201.jpg,1,train
000202.jpg,1,train
000203.jpg,1,train
000204.jpg,1,train
000205.jpg,1,train
000206.jpg,1,train
000207.jpg,1,train
000208.jpg,1,train
000209.jpg,1,train
000210.jpg,1,train
000211.jpg,1,train
000212.jpg,1,train
000213.jpg,1,train
000214.jpg,1,train
000240.jpg,2,val
000241.jpg,2,val
000242.jpg,2,val
000243.jpg,2,val
000244.jpg,2,val
000245.jpg,2,val
000246.jpg,2,val
000247.jpg,2,val
000248.jpg,2,val
000249.jpg,2,val
000250.jpg,2,val
000251.jpg,2,val
000252.jpg,2,train
000253.jpg,2,train
000254.jpg,2,train
000255.jpg,2,train
000256.jpg,2,train
000257.jpg,2,train
000258.jpg,2,train
000259.jpg,2,train
000260.jpg,2,train
000261.jpg,2,train
000262.jpg,2,train
000263.jpg,2,train
000264.jpg,2,train
000265.jpg,2,train
000266.jpg,2,train
000267.jpg,2,train
000268.jpg,2,train
000269.jpg,2,train
000270.jpg,2,train
000271.jpg,2,train
000272.jpg,2,train
000273.jpg,2,train
000274.jpg,2,train
000275.jpg,2,train
000276.jpg,2,train
000277.jpg,2,train
000278.jpg,2,train
000279.jpg,2,train
000280.jpg,2,train
000281.jpg,2,train
000282.jpg,2,train
000283.jpg,2,train
000284.jpg,2,train
000285.jpg,2,train
000286.jpg,2,train
000287.jpg,2,train
000288.jpg,2,train
000289.jpg,2,train
000290.jpg,2,train
000291.jpg,2,train
000292.jpg,2,train
000293.jpg,2,train
000294.jpg,2,train
000295.jpg,2,train
000296.jpg,2,train
000297.jpg,2,train
000298.jpg,2,train
000324.jpg,3,val
000325.jpg,3,val
000326.jpg,3,val
000327.jpg,3,val
000328.jpg,3,val
000329.jpg,3,val
000330.jpg,3,val
000331.jpg,3,val
000332.jpg,3,val
000333.jpg,3,val
000334.jpg,3,val
000335.jpg,3,val
000336.jpg,3,train
000337.jpg,3,train
000338.jpg,3,train
000339.jpg,3,train
000340.jpg,3,train
000341.jpg,3,train
000342.jpg,3,train
000343.jpg,3,train
000344.jpg,3,train
000345.jpg,3,train
000346.jpg,3,train
000347.jpg,3,train
000348.jpg,3,train
000349.jpg,3,train
000350.jpg,3,train
000351.jpg,3,train
000352.jpg,3,train
000353.jpg,3,train
000354.jpg,3,train
000355.jpg,3,train
000356.jpg,3,train
000357.jpg,3,train
000358.jpg,3,train
000359.jpg,3,train
000360.jpg,3,train
000361.jpg,3,train
000362.jpg,3,train
000363.jpg,3,train
000364.jpg,3,train
000365.jpg,3,train
000366.jpg,3,train
000367.jpg,3,train
000368.jpg,3,train
000369.jpg,3,train
000370.jpg,3,train
000371.jpg,3,train
000372.jpg,3,train
000373.jpg,3,train
000374.jpg,3,train
000375.jpg,3,train
000376.jpg,3,train
000377.jpg,3,train
000378.jpg,3,train
000379.jpg,3,train
000380.jpg,3,train
000405.jpg,4,val
000406.jpg,4,val
000407.jpg,4,val
000408.jpg,4,val
000409.jpg,4,val
000410.jpg,4,val
000411.jpg,4,val
000412.jpg,4,val
000413.jpg,4,val
000414.jpg,4,val
000415.jpg,4,val
000416.jpg,4,val
000417.jpg,4,train
000418.jpg,4,train
000419.jpg,4,train
000420.jpg,4,train
000421.jpg,4,train
000422.jpg,4,train
000423.jpg,4,train
000424.jpg,4,train
000425.jpg,4,train
000426.jpg,4,train
000427.jpg,4,train
000428.jpg,4,train
000429.jpg,4,train
000430.jpg,4,train
000431.jpg,4,train
000432.jpg,4,train
000433.jpg,4,train
000434.jpg,4,train
000435.jpg,4,train
000436.jpg,4,train
000437.jpg,4,train
000438.jpg,4,train
000439.jpg,4,train
000440.jpg,4,train
000441.jpg,4,train
000442.jpg,4,train
000443.jpg,4,train
000444.jpg,4,train
000445.jpg,4,train
000446.jpg,4,train
000447.jpg,4,train
000448.jpg,4,train
000449.jpg,4,train
000450.jpg,4,train
000451.jpg,4,train
000452.jpg,4,train
000453.jpg,4,train
000454.jpg,4,train
000455.jpg,4,train
000456.jpg,4,train
000457.jpg,4,train
000458.jpg,4,train
000459.jpg,4,train
000460.jpg,4,train
000461.jpg,4,train
000462.jpg,4,train
000463.jpg,4,train
000464.jpg,4,train
000465.jpg,4,train
000466.jpg,4,train
000467.jpg,4,train
000494.jpg,5,val
000495.jpg,5,val
000496.jpg,5,val
000497.jpg,5,val
000498.jpg,5,val
000499.jpg,5,val
000500.jpg,5,val
000501.jpg,5,val
000502.jpg,5,val
000503.jpg,5,val
000504.jpg,5,val
000505.jpg,5,val
000506.jpg,5,train
000507.jpg,5,train
000508.jpg,5,train
000509.jpg,5,train
000510.jpg,5,train
000511.jpg,5,train
000512.jpg,5,train
000513.jpg,5,train
000514.jpg,5,train
000515.jpg,5,train
000516.jpg,5,train
000517.jpg,5,train
000518.jpg,5,train
000519.jpg,5,train
000520.jpg,5,train
000521.jpg,5,train
000522.jpg,5,train
000523.jpg,5,train
000524.jpg,5,train
000525.jpg,5,train
000526.jpg,5,train
000527.jpg,5,train
000528.jpg,5,train
000529.jpg,5,train
000530.jpg,5,train
000531.jpg,5,train
000532.jpg,5,train
000533.jpg,5,train
000534.jpg,5,train
000535.jpg,5,train
