files,labels,fold
000001.jpg,0,val
000002.jpg,0,val
000003.jpg,0,val
000004.jpg,0,val
000005.jpg,0,val
000006.jpg,0,val
000007.jpg,0,val
000008.jpg,0,val
000009.jpg,0,val
000010.jpg,0,train
000011.jpg,0,train
000012.jpg,0,train
000013.jpg,0,train
000014.jpg,0,train
000015.jpg,0,train
000016.jpg,0,train
000017.jpg,0,train
000018.jpg,0,train
000019.jpg,0,train
000020.jpg,0,train
000021.jpg,0,train
000022.jpg,0,train
000023.jpg,0,train
000024.jpg,0,train
000025.jpg,0,train
000026.jpg,0,train
000027.jpg,0,train
000028.jpg,0,train
000029.jpg,0,train
000030.jpg,0,train
000031.jpg,0,train
000032.jpg,0,train
000033.jpg,0,train
000034.jpg,0,train
000035.jpg,0,train
000036.jpg,0,train
000037.jpg,0,train
000038.jpg,0,train
000039.jpg,0,train
000040.jpg,0,train
000041.jpg,0,train
000042.jpg,0,train
000043.jpg,0,train
000044.jpg,0,train
000045.jpg,0,train
000090.jpg,1,val
000091.jpg,1,val
000092.jpg,1,val
000093.jpg,1,val
000094.jpg,1,val
000095.jpg,1,val
000096.jpg,1,val
000097.jpg,1,val
000098.jpg,1,val
000099.jpg,1,train
000100.jpg,1,train
000101.jpg,1,train
000102.jpg,1,train
000103.jpg,1,train
000104.jpg,1,train
000105.jpg,1,train
000106.jpg,1,train
000107.jpg,1,train
000108.jpg,1,train
000109.jpg,1,train
000110.jpg,1,train
000111.jpg,1,train
000112.jpg,1,train
000113.jpg,1,train
000114.jpg,1,train
000115.jpg,1,train
000116.jpg,1,train
000117.jpg,1,train
000118.jpg,1,train
000119.jpg,1,train
000120.jpg,1,train
000121.jpg,1,train
000154.jpg,2,val
000155.jpg,2,val
000156.jpg,2,val
000157.jpg,2,val
000158.jpg,2,val
000159.jpg,2,val
000160.jpg,2,val
000161.jpg,2,val
000162.jpg,2,val
000163.jpg,2,train
000164.jpg,2,train
000165.jpg,2,train
000166.jpg,2,train
000167.jpg,2,train
000168.jpg,2,train
000169.jpg,2,train
000170.jpg,2,train
000171.jpg,2,train
000172.jpg,2,train
000173.jpg,2,train
000174.jpg,2,train
000175.jpg,2,train
000176.jpg,2,train
000177.jpg,2,train
000178.jpg,2,train
000179.jpg,2,train
000180.jpg,2,train
000181.jpg,2,train
000182.jpg,2,train
000183.jpg,2,train
000184.jpg,2,train
000185.jpg,2,train
000186.jpg,2,train
000187.jpg,2,train
000188.jpg,2,train
000189.jpg,2,train
000190.jpg,2,train
000191.jpg,2,train
000192.jpg,2,train
000193.jpg,2,train
000194.jpg,2,train
000195.jpg,2,train
000196.jpg,2,train
000240.jpg,3,val
000241.jpg,3,val
000242.jpg,3,val
000243.jpg,3,val
000244.jpg,3,val
000245.jpg,3,val
000246.jpg,3,val
000247.jpg,3,val
000248.jpg,3,val
000249.jpg,3,train
000250.jpg,3,train
000251.jpg,3,train
000252.jpg,3,train
000253.jpg,3,train
000254.jpg,3,train
000255.jpg,3,train
000256.jpg,3,train
000257.jpg,3,train
000258.jpg,3,train
000259.jpg,3,train
000260.jpg,3,train
000261.jpg,3,train
000262.jpg,3,train
000263.jpg,3,train
000264.jpg,3,train
000265.jpg,3,train
000266.jpg,3,train
000267.jpg,3,train
000268.jpg,3,train
000269.jpg,3,train
000270.jpg,3,train
000271.jpg,3,train
000272.jpg,3,train
000273.jpg,3,train
000274.jpg,3,train
000275.jpg,3,train
000276.jpg,3,train
000277.jpg,3,train
000278.jpg,3,train
000279.jpg,3,train
000280.jpg,3,train
000281.jpg,3,train
000324.jpg,4,val
000325.jpg,4,val
000326.jpg,4,val
000327.jpg,4,val
000328.jpg,4,val
000329.jpg,4,val
000330.jpg,4,val
000331.jpg,4,val
000332.jpg,4,val
000333.jpg,4,train
000334.jpg,4,train
000335.jpg,4,train
000336.jpg,4,train
000337.jpg,4,train
000338.jpg,4,train
000339.jpg,4,train
000340.jpg,4,train
000341.jpg,4,train
000342.jpg,4,train
000343.jpg,4,train
000344.jpg,4,train
000345.jpg,4,train
000346.jpg,4,train
000347.jpg,4,train
000348.jpg,4,train
000349.jpg,4,train
000350.jpg,4,train
000351.jpg,4,train
000352.jpg,4,train
000353.jpg,4,train
000354.jpg,4,train
000355.jpg,4,train
000356.jpg,4,train
000357.jpg,4,train
000358.jpg,4,train
000359.jpg,4,train
000360.jpg,4,train
000361.jpg,4,train
000362.jpg,4,train
000363.jpg,4,train
000364.jpg,4,train
000405.jpg,5,val
000406.jpg,5,val
000407.jpg,5,val
000408.jpg,5,val
000409.jpg,5,val
000410.jpg,5,val
000411.jpg,5,val
000412.jpg,5,val
000413.jpg,5,val
000414.jpg,5,train
000415.jpg,5,train
000416.jpg,5,train
000417.jpg,5,train
000418.jpg,5,train
000419.jpg,5,train
000420.jpg,5,train
000421.jpg,5,train
000422.jpg,5,train
000423.jpg,5,train
000424.jpg,5,train
000425.jpg,5,train
000426.jpg,5,train
000427.jpg,5,train
000428.jpg,5,train
000429.jpg,5,train
000430.jpg,5,train
000431.jpg,5,train
000432.jpg,5,train
000433.jpg,5,train
000434.jpg,5,train
000435.jpg,5,train
000436.jpg,5,train
000437.jpg,5,train
000438.jpg,5,train
000439.jpg,5,train
000440.jpg,5,train
000441.jpg,5,train
000442.jpg,5,train
000443.jpg,5,train
000444.jpg,5,train
000445.jpg,5,train
000446.jpg,5,train
000447.jpg,5,train
000448.jpg,5,train
000449.jpg,5,train
000494.jpg,6,val
000495.jpg,6,val
000496.jpg,6,val
000497.jpg,6,val
000498.jpg,6,val
000499.jpg,6,val
000500.jpg,6,val
000501.jpg,6,val
000502.jpg,6,val
000503.jpg,6,train
000504.jpg,6,train
000505.jpg,6,train
000506.jpg,6,train
000507.jpg,6,train
000508.jpg,6,train
000509.jpg,6,train
000510.jpg,6,train
000511.jpg,6,train
000512.jpg,6,train
000513.jpg,6,train
000514.jpg,6,train
000515.jpg,6,train
000516.jpg,6,train
000517.jpg,6,train
000518.jpg,6,train
000519.jpg,6,train
000520.jpg,6,train
000521.jpg,6,train
000522.jpg,6,train
000523.jpg,6,train
000524.jpg,6,train
000525.jpg,6,train
000526.jpg,6,train
000527.jpg,6,train
000528.jpg,6,train
000529.jpg,6,train
000530.jpg,6,train
000531.jpg,6,train
000532.jpg,6,train
000572.jpg,7,val
000573.jpg,7,val
000574.jpg,7,val
000575.jpg,7,val
000576.jpg,7,val
000577.jpg,7,val
000578.jpg,7,val
000579.jpg,7,val
000580.jpg,7,val
000581.jpg,7,train
000582.jpg,7,train
000583.jpg,7,train
000584.jpg,7,train
000585.jpg,7,train
000586.jpg,7,train
000587.jpg,7,train
000588.jpg,7,train
000589.jpg,7,train
000590.jpg,7,train
000591.jpg,7,train
000592.jpg,7,train
000593.jpg,7,train
000594.jpg,7,train
000595.jpg,7,train
000596.jpg,7,train
000597.jpg,7,train
000598.jpg,7,train
000599.jpg,7,train
000600.jpg,7,train
000601.jpg,7,train
000602.jpg,7,train
000603.jpg,7,train
000604.jpg,7,train
000605.jpg,7,train
000606.jpg,7,train
000607.jpg,7,train
000608.jpg,7,train
000609.jpg,7,train
000610.jpg,7,train
000611.jpg,7,train
000612.jpg,7,train
000613.jpg,7,train
000614.jpg,7,train
000615.jpg,7,train
000616.jpg,7,train
000662.jpg,8,val
000663.jpg,8,val
000664.jpg,8,val
000665.jpg,8,val
000666.jpg,8,val
000667.jpg,8,val
000668.jpg,8,val
000669.jpg,8,val
000670.jpg,8,val
000671.jpg,8,train
000672.jpg,8,train
000673.jpg,8,train
000674.jpg,8,train
